,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Var_X,Var_Y,Var_Z,Teleportations
26,BNC11,3,87.80940530000001,14.639289,73.1701163,1124.0214458504965,12.991434541537448,0.8196296474118755,5.424274553100199,49.727516851522154,3.115347862663038,109
27,BNC12,1,406.2888898,30.665339799999998,375.62355,3595.6833240226733,11.50607941188469,0.7990806972742914,17.447718503366538,81.52470006423238,7.663129104295738,498
28,BNC12,2,68.52679889999999,11.8656333,56.661165600000004,1209.1141141569972,19.09951980378959,0.5117983115828804,13.153552536578385,86.52475615587713,6.194822123901401,136
29,BNC12,3,54.568335000000005,9.694314,44.874021,1127.2276486458172,20.495434499318243,0.43345913062182695,11.252632197249131,74.22863861684678,5.511336006245326,129
30,BNC23,1,542.6526507,41.3632437,501.289407,3952.098974045571,9.327559644337658,0.979562504778754,8.824287311761088,92.93858016126197,6.307479944144189,599
31,BNC23,2,146.28750810000003,24.4094591,121.878049,1884.1314588395167,15.415896685183121,0.5770785105324718,8.789737959622213,56.75883730527252,4.910280798903475,256
32,BNC23,3,69.1029361,17.9579611,51.144975,1123.4656060384025,17.21812200435073,0.5445722093828984,8.528854494434075,81.45544319107803,5.9887836677211865,130
33,BNC26,1,290.55604959999994,28.895127600000002,261.660922,1797.0245082166987,6.843567399056469,1.4702355116355104,7.099948662526187,47.67638171761,5.243208992483533,212
34,BNC26,2,134.76828890000002,23.3614179,111.406871,1282.106959020237,11.243673110596486,0.8743830430054162,5.321062858204221,40.91652092735744,3.5550525361695104,144
35,BNC26,3,71.7613945,16.194913500000002,55.566480999999996,1059.3576916570219,14.86985172408292,0.7512836222040904,4.428687259093462,42.39109647678326,2.9074783341710297,103
36,BNC27,1,406.0934995,25.4265557,380.6669438,2823.491993308152,8.493672264392998,1.0093258815296395,5.601193744968393,41.98783958200905,3.0926692531104485,396
37,BNC27,2,134.0762341,20.840901099999996,113.235333,1426.078397974256,11.289537493861673,0.7951265042812501,5.197017862394332,58.323464920291734,3.8718180294094853,172
38,BNC27,3,61.0024429,11.8882771,49.114165799999995,1109.4154455368703,18.191240594097742,0.47746526583482135,6.053544002397979,42.652224046138585,4.912258276720369,129
39,BNC28,1,188.643999,24.347658,164.29634099999998,1702.4738844125254,10.252087843121963,0.9563924831418562,15.389140477203574,87.72423882098961,6.917315947161004,201
40,BNC28,2,108.04332020000001,19.940045200000004,88.103275,1409.211843895945,14.036698978443258,0.6470965426387164,12.695337229188338,72.33645439045706,5.734950433693459,173
41,BNC28,3,226.596297,12.990406,213.605891,2591.797279161063,16.296024689120422,0.5559401964601338,10.717862424992804,62.1483464832782,4.86095132640555,352
42,BNC29,1,384.2984947,39.5488607,344.749634,2846.550188121871,8.58623104113422,0.928647512312468,8.039854475597057,74.23049818613461,4.770637879669911,411
43,BNC29,2,354.27120350000007,23.2509685,331.020235,2636.0975281123524,9.279177662566482,0.7803472131768406,8.622416012940711,73.81907451295142,4.384036292594445,400
44,BNC29,3,294.6823065,22.5221745,272.160132,2697.099520758495,9.731664550187713,0.7094908500365746,9.727222557775706,71.32394653791913,5.490511148720055,420
45,BNC30,1,295.6937112,33.9418142,261.751897,2125.8772223035417,8.142301529266636,1.2522725063530724,8.543597737487394,79.18206536856121,4.713966107413112,295
46,BNC30,2,133.8402886,35.32092960000001,98.51935900000001,1394.0257355613153,11.057656826625472,0.8443439005815875,8.690309352177266,55.80125143602612,4.366910811995296,181
47,BNC30,3,83.4284807,26.1184297,57.310051,1092.762467246475,13.425593678853524,0.6607746429999906,7.290890214654217,35.872019951999214,3.2599796314682288,131
48,BNC31,1,430.8804423,53.7640753,377.11636699999997,2264.571336435019,5.872926514077663,1.7352952024443098,9.508503179638291,77.93094158584196,5.434518729555033,270
49,BNC31,2,288.3298018,28.625622800000002,259.704179,1962.9780370592084,7.1166556418811,1.2457876673371624,7.369093784626163,67.66369799376196,4.618445958734821,237
50,BNC31,3,184.18825529999998,29.6902663,154.49798900000002,1410.61796217266,8.593272465273518,1.1999263991135778,7.078762379194911,55.2544567660192,4.104050313004694,151
51,BNC32,1,695.8450072999999,37.5970753,658.247932,4336.047547315084,6.752601491406535,1.1437609909104882,5.286746926506254,45.49115724644838,3.1488659005421518,678
52,BNC32,2,338.2664996,48.7521976,289.514302,2204.5800570725596,8.097356246621587,1.155260203282639,6.215022139876934,40.505436133406,3.6028604487167057,311
53,BNC32,3,317.6680897,42.7387587,274.929331,2431.0942835389155,8.066860140433658,1.1707809150780872,4.267095380376349,42.55647379422702,2.9237693879758737,356
54,BNC33,1,404.3690963,42.7039393,361.665157,2736.424352495935,8.377462209437377,1.2264968185620266,11.8257825077356,85.20007889407768,5.989713577491203,419
55,BNC33,2,121.4015167,24.7108597,96.690657,1421.1073380331534,14.531338633265978,0.5994049148057028,11.464199185139405,52.09756082725258,5.957121626171005,190
56,BNC33,3,73.06461049999999,25.0244285,48.040182,1055.2161526588832,15.261739526562085,0.6837243907477025,12.923668552025246,49.21429821369867,6.483725665164956,111
57,BNC34,1,264.5852951,33.2770961,231.30819899999997,1664.066238451179,6.704348726737784,1.653393369081416,7.497596991615747,54.53317910840116,4.375328932532486,187
