Unnamed: 0,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
41,BNC40,3,69.58562395,4.431092325,65.154531625,351.7717610467158,6.848399634690985,1.448316063001267,44.5,6.835093402433239
42,BNC41,1,70.408660875,6.660661625,63.74799925000001,298.74607587107994,6.743186490477436,1.6732637478068133,43.0,6.180962860696063
43,BNC41,2,40.4961204625,4.0836412125,36.41247925,233.15887631277096,9.753657142233829,0.8269730477895272,43.875,4.536996866701957
44,BNC41,3,62.5566964875,7.976208612500001,54.580487875,313.0465186022728,8.860848651486103,0.9339525746150186,80.25,3.852610258849938
45,BNC42,1,82.4537168375,6.256263337500001,76.19745350000001,552.7015033599674,11.580371411730516,1.0891081285531543,80.125,6.490034434973776
46,BNC42,2,29.31704215,3.75595765,25.5610845,217.07029263419508,10.316997479165842,0.90088100371758,31.375,5.63597260076551
47,BNC42,3,23.82569705,3.1977068,20.62799025,219.84008397051545,18.049168532475964,0.5659582378321352,31.125,5.598874275530447
48,BNC43,1,90.4383327875,10.672695775,79.76563701250001,319.06088080585374,4.457842046109703,2.139851623516462,45.875,6.0517323331058
49,BNC43,2,52.3435501125,6.7612814875,45.582268625000005,262.18099659237527,7.161577858033485,1.2911689005472642,48.375,5.285475269193499
50,BNC43,3,43.6448427,4.4668245625,39.1780181375,242.09425783420352,8.136252857292213,0.8443424450026733,49.75,4.41460165574916
51,BNC44,1,95.280001075,7.241701325000001,88.03829975000001,411.13924972798,4.819964587121788,1.4071361484101934,71.125,4.843719852168567
52,BNC44,2,63.8890724,5.81225615,58.07681625,278.70401226343813,5.4409148133657474,1.1719411255756689,52.5,4.326746745722673
53,BNC44,3,46.1608867,3.7661173125,42.394769387500006,234.03985486507707,6.783577149797194,1.0072510903126357,43.875,4.329911649784616
54,BNC45,1,89.19779768749999,5.8599080625,83.337889625,464.2284318465266,6.647839671713547,1.5206051448141693,65.25,6.435698609718798
55,BNC45,2,51.092969825,3.077402325,48.0155675,305.8096051851552,8.000735633446245,1.042743020178699,42.5,6.072223301308624
56,BNC45,3,35.746692249999995,3.4745795,32.27211275,246.8078948902366,10.21149382528137,0.9834017588287904,32.25,6.345237031719497
57,BNC46,1,172.24864461250002,10.8124338625,161.43621075,874.2940401647086,6.070520794115383,1.825831775746112,127.375,6.292118732200546
58,BNC46,2,40.2136226375,4.413868512500001,35.79975412499999,225.81648008655785,7.056938375227453,1.0075333718106432,37.25,4.64540421507401
59,BNC46,3,146.7301068875,3.8813063125,142.848800575,799.0749524451187,6.66467119481487,0.9822815469853288,143.375,4.768485508580197
60,BNC47,1,225.599353375,16.400963,209.19839037500003,1182.032774329933,6.712739126023315,1.337191591022865,181.0,6.387788497041971
61,BNC47,2,128.4916072125,9.0402652125,119.45134199999998,733.1960473620666,7.999528778519077,1.0179874884460358,127.25,5.730811510375805
62,BNC47,3,60.1924506125,4.979199362499999,55.21325125,507.1016450839777,10.0597457972116,0.7372974994606323,81.625,5.471197901368111
63,NAV053,1,165.54513265,13.6330549,151.91207775,755.2177924910388,6.584772025215544,1.4349149045218637,116.875,5.899057228245072
64,NAV053,2,99.58082341249998,5.332629275,94.2481941375,669.5671408024756,8.893316746461377,1.1638113727806227,101.875,5.618312437302043
65,NAV053,3,28.8220285875,5.0674812125,23.754547375,217.88110252774493,11.120030027638864,0.7898136560449831,31.75,5.232753761720907
66,NAV058,1,100.498473,9.49366425,91.00480875,499.9364359784733,7.105849687167366,1.1514355807202656,77.0,5.760301180636276
67,NAV058,2,45.893816325,5.066499575,40.82731675,265.18064728790785,7.571879654397162,1.1008976048141133,42.625,5.025103588928959
68,NAV058,3,47.8541664375,3.541036875,44.3131295625,293.5588776283303,7.615985388903682,0.910688471136953,48.25,5.052009046445411
69,NAV059,1,76.3544208,7.9468908,68.40753000000001,248.74382622906177,3.738794959918785,2.8371945270633194,31.75,6.392511359567684
70,NAV059,2,59.0836505625,5.410323937499999,53.673326625,291.2968147766653,8.118630978122006,1.2337873554404284,43.5,5.775360459496973
71,NAV059,3,30.5372650875,3.7401638375,26.79710125,194.11756569009864,10.349189868971395,0.8859741987415872,29.5,5.03469591625956
72,NAV060,1,48.873321025,6.36698605,42.506334975,249.5994753429553,9.134071802307377,1.5467962249725506,30.625,6.621509222088502
73,NAV060,2,34.4520352875,4.6286010375,29.82343425,232.40571429817945,9.491993839323912,1.1314690496051587,28.0,6.48105038466432
74,NAV060,3,20.735135325,3.14627545,17.588859874999997,196.09039643472352,14.89422658462323,0.7589284499688183,22.625,6.618475118141019
75,NAV062,1,87.9071104875,5.8249594875,82.08215100000001,452.08924470699145,7.069939180444198,1.335863977274708,66.125,6.106185706548533
76,NAV062,2,38.6039103375,3.4932614625000005,35.110648874999995,256.7735977376944,8.390859138673818,1.069309359603284,36.0,5.893554721022896
77,NAV062,3,23.5209239625,2.7749482125,20.74597575,205.82549824269356,12.53980422103552,0.7843613399771617,27.5,5.794558342426788
78,NAV064,1,184.6778968375,8.5155274625,176.162369375,945.7638502229393,6.28112698127109,1.147730035595394,207.5,4.929490336814138
79,NAV064,2,53.5301907875,7.4491934125,46.080997375,429.74536302663216,11.707724784274731,0.8213630119263926,86.125,4.691844667032031
80,NAV064,3,39.649725575000005,5.415933825,34.23379175,389.1413854716425,14.622575089445906,0.5674689788659295,75.5,4.6889782914933225
81,NAV065,1,164.4819901375,12.9356932625,151.546296875,935.4947281302536,7.293280937668271,0.987099349630902,212.75,4.464141828806403
82,NAV065,2,130.711355125,11.48690475,119.224450375,817.4888501218938,9.511410130935865,0.7716531821777,184.0,4.324037380007685
83,NAV065,3,62.66252395,5.74749545,56.915028500000005,475.9328076065244,11.035299159139251,0.7186364149270645,100.0,4.502405090124374
