,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
20,BNC08,3,19.313416637499998,2.5153161375,16.7981005,249.05770262526298,18.128905754618515,0.5093522393492576,37.125,5.4881800557510845
21,BNC09,1,122.9716609875,4.4711266125,118.50053437500002,385.9999746241192,3.8987267142647184,2.286956362753268,55.125,5.884304405094774
22,BNC09,2,42.4691377375,3.6350753625,38.834062375,193.2937691773493,6.172429183142454,1.3524589976592671,29.5,4.974319112477234
23,BNC09,3,47.564120887499996,2.4453967624999997,45.118724125,273.64624313255354,8.270788375460421,0.9132997111789558,46.125,4.86020431201241
24,BNC11,1,46.7212154375,5.434655562500001,41.286559874999995,275.25786085918537,8.359324794332384,1.4559750995391572,32.5,7.051288981709369
25,BNC11,2,17.99060545,2.8486997,15.14190575,155.98169571493608,11.236538616953387,1.1187624586131086,15.75,7.000555622583361
26,BNC11,3,10.976175662500001,1.829911125,9.1462645375,140.50268073131207,15.989180469201468,0.7444332789261697,13.625,6.920321654749253
27,BNC12,1,50.786111225,3.8331674749999998,46.95294375,449.46041550283417,14.055391310521546,0.7575936471533832,62.25,6.378553103581579
28,BNC12,2,8.565849862499999,1.4832041625,7.0826457000000005,151.13926426962465,23.57086540004319,0.46603296606592504,17.0,6.07646671965208
29,BNC12,3,6.821041875000001,1.21178925,5.609252625,140.90345608072715,25.10035669543076,0.403499276966741,16.125,5.814257031967447
30,BNC23,1,67.8315813375,5.1704054625,62.661175875,494.0123717556964,12.261668713710533,0.9214214482022208,74.875,5.987943107471615
31,BNC23,2,18.285938512500003,3.0511823875,15.234756125,235.51643235493958,21.447312713044077,0.51434963243137,32.0,5.791898062987949
32,BNC23,3,8.6378670125,2.2447451375,6.393121875,140.4332007548003,24.400725956813517,0.45183417527984676,16.25,5.693350737511319
33,BNC26,1,36.31950619999999,3.6118909500000003,32.70761525,224.62806352708733,7.977029221678679,1.4575003970006986,26.5,6.759557676444636
34,BNC26,2,16.846036112500002,2.9201772375,13.925858875,160.2633698775296,14.297662494201662,0.8060938852202624,18.0,6.150664681650019
35,BNC26,3,8.9701743125,2.0243641875000002,6.9458101249999995,132.41971145712773,18.961271879469642,0.6421407154075092,12.875,6.741424214391802
36,BNC27,1,50.7616874375,3.1783194625,47.583367975,352.936499163519,10.600760697495797,0.9460302027583117,49.5,6.147065709288543
37,BNC27,2,16.7595292625,2.6051126374999996,14.154416625,178.259799746782,14.134159200381298,0.7562827472046734,21.5,6.078961775493715
38,BNC27,3,7.6253053625,1.4860346375,6.139270724999999,138.67693069210878,22.948238699410247,0.4359217587751831,16.125,5.810396960993808
39,BNC28,1,23.580499875,3.04345725,20.537042624999998,212.80923555156568,12.70612106619545,0.9286613000812756,25.125,6.679317549341547
40,BNC28,2,13.505415025000001,2.4925056500000005,11.012909375,176.15148048699314,17.975956853615013,0.5966967912636726,21.625,6.00646224468826
41,BNC28,3,28.324537125,1.62380075,26.700736375,323.9746598951329,20.024704082788386,0.511315855236478,44.0,6.205090271451761
42,BNC29,1,48.0373118375,4.9436075875,43.09370425,355.8187735152339,10.128627001315792,0.897560152828877,51.375,6.005322013460205
43,BNC29,2,44.28390043750001,2.9063710625,41.377529375,329.51219101404405,11.600757274571416,0.7489231360941806,50.0,5.646197433798351
44,BNC29,3,36.8352883125,2.8152718125,34.0200165,337.1374400948119,11.657823685919828,0.6806735363334746,52.5,5.4339481354364345
45,BNC30,1,36.9617139,4.242726775,32.718987125,265.7346527879427,9.785825857303596,1.2025031088953044,36.875,6.152620346407057
46,BNC30,2,16.730036075,4.415116200000001,12.314919875000001,174.2532169451644,14.850172727451469,0.7175808259898571,22.625,5.726540754390663
47,BNC30,3,10.4285600875,3.2648037125,7.163756375,136.59530840580936,19.49842981919555,0.5275858585158306,16.375,5.576987871434834
48,BNC31,1,53.8600552875,6.7205094125,47.139545874999996,283.0714170543774,6.972712570371018,1.6393902740296276,33.75,7.001534591649542
49,BNC31,2,36.041225225,3.5782028500000003,32.463022375,245.37225463240105,8.244357190203704,1.1912710247206308,29.625,6.685316346832926
50,BNC31,3,23.023531912499998,3.7112832875,19.312248625000002,176.3272452715825,10.661972590856642,1.1655955119485295,18.875,6.78922586990339
51,BNC32,1,86.98062591249999,4.6996344125,82.2809915,542.0059434143855,7.675203244596981,1.103302115157978,84.75,6.083464383351215
52,BNC32,2,42.28331245,6.0940247,36.18928775,275.57250713406995,10.543268743607502,1.0663084444438788,38.875,5.788356910521192
53,BNC32,3,39.7085112125,5.3423448375,34.366166375,303.88678544236444,11.491694543476921,1.027929518239885,44.5,5.837565953999503
54,BNC33,1,50.5461370375,5.3379924125,45.208144625,342.0530440619919,11.836110684784424,1.2089137034283137,52.375,6.36997256037772
55,BNC33,2,15.1751895875,3.0888574625,12.086332125,177.63841725414417,20.406449110087394,0.560318205898379,23.75,5.638179619298254
56,BNC33,3,9.133076312499998,3.1280535625,6.00502275,131.9020190823604,22.218870973859215,0.546889776498683,13.875,6.051268348116987
57,BNC34,1,33.0731618875,4.1596370125,28.913524874999997,208.00827980639738,8.170874654060542,1.6016611480205556,23.375,6.950130999897832
58,BNC34,2,28.931512325,3.316869075,25.61464325,236.32082277798273,12.748956963409505,0.9043214498666721,29.5,6.412871670803866
59,BNC34,3,15.994049075,2.475416825,13.51863225,160.86089567915394,13.442566200043544,0.8449514802441617,18.0,6.458451695587311
60,BNC35,1,68.7337571625,5.6267094125,63.10704775,233.46351004549717,4.120262960764913,2.4239101253111506,28.25,6.617975028430266
61,BNC35,2,27.164838025,3.3826079,23.782230124999998,154.29822197375597,6.836719850079477,1.6021183203653147,16.75,6.424196906200475
62,BNC35,3,23.616346625,3.286305875,20.330040750000002,152.7363327509082,7.919974055735992,1.445374322537049,16.75,6.346312820202689
63,BNC36,1,53.67349786249999,7.4585011125000005,46.214996750000005,273.50263408761094,8.657200064192313,1.542894514873712,33.25,6.806833446505948
64,BNC36,2,33.64383775,3.297408,30.34642975,241.1155002045205,11.385304358088103,1.060376789691802,29.25,6.704202271883485
