Unnamed: 0,Participant,Block_Num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
5,BNC17,2,Pizzeria,23.4229366,6.9509636,16.471973,144.8178855,8.791775309,1.091136933,16,6.805735788
6,BNC17,2,Quattroki Restaurant,481.1165841,8.6386861,472.477898,2071.478812,4.384287224,1.617228238,296,6.790580844
7,BNC17,2,High School,282.6327045,1.1112465,281.521458,1518.20979,5.392874137,1.335506988,211,6.789200331
0,BNC17,3,Automobile shop,133.8425667,4.1513007,129.691266,585.2170266,4.512385796,1.399826212,94,6.2926562
1,BNC17,3,Police station ,19.7780418,4.7641838,15.013858,121.6671066,8.103653746,1.244190167,13,6.14653457
2,BNC17,3,Fire Station,24.3326491,5.3401021,18.992547,146.4787376,7.712432546,1.608708364,15,6.483852376
3,BNC17,3,Bank,39.3810704,3.2977204,36.08335,244.4518403,6.774643716,1.357687131,27,6.333799218
4,BNC17,3,Pawn Shop,136.7536011,8.5482731,128.205328,613.4948196,4.785252136,1.572773594,87,6.650900328
5,BNC17,3,Pizzeria,31.5469019,14.5065519,17.04035,155.331055,9.115485011,0.995430588,18,6.71135072
6,BNC17,3,Quattroki Restaurant,368.2290723,5.6675823,362.56149,1638.583586,4.519463956,1.519905541,240,6.56645017
7,BNC17,3,High School,65.8249953,0.7292469,65.0957484,426.4242126,6.550722944,1.214670425,54,6.298409723
0,BNC18,1,Automobile shop,181.7955667,43.5077867,138.28778,647.9669869,4.685641688,1.777174467,101,6.479669869
1,BNC18,1,Police station ,144.1980449,64.4570149,79.74103,617.6232041,7.745362759,1.391481435,102,5.609179714
2,BNC18,1,Fire Station,20.6384383,9.6942833,10.944155,173.4895486,15.85225617,0.866472332,23,5.325025781
3,BNC18,1,Bank,50.2208602,6.2146812,44.006179,377.879653,8.586968048,0.808068003,61,4.978112311
4,BNC18,1,Pawn Shop,44.4573357,8.7499727,35.707363,203.231341,5.691580781,0.97080147,45,3.663592977
5,BNC18,1,Pizzeria,50.1225521,5.1245821,44.99797,467.5170875,10.3897373,0.540321847,92,4.65389056
6,BNC18,1,Quattroki Restaurant,16.0145222,6.5698132,9.444709,193.7959372,20.51899505,0.553031007,28,4.552563604
7,BNC18,1,High School,166.8429498,8.0485228,158.794427,918.5380418,5.784447597,0.837943808,195,4.264390355
0,BNC18,2,Automobile shop,28.0003867,18.5425067,9.45788,63.19678566,6.681918745,1.793499113,16,4.213119044
1,BNC18,2,Police station ,137.6015856,3.4447186,134.156867,684.8720404,5.105009201,0.931295367,147,4.339990535
2,BNC18,2,Fire Station,39.3040512,19.1593412,20.14471,197.4876992,9.803452081,1.233073707,31,4.865533366
3,BNC18,2,Bank,46.3882293,6.5838833,39.804346,264.0592405,6.633929885,0.839340081,54,3.496282203
4,BNC18,2,Pawn Shop,23.3047475,1.9583835,21.346364,109.8601513,5.146551016,0.989858932,23,3.034552422
5,BNC18,2,Pizzeria,37.7907802,5.5207702,32.27001,291.8008692,9.042478427,0.687518408,53,4.828983145
6,BNC18,2,Quattroki Restaurant,14.242588,6.027503,8.215085,193.48683,23.55262667,0.522133273,23,5.536012865
7,BNC18,2,High School,55.137796,5.277911,49.859885,464.9640474,9.325413553,0.775240443,71,5.310513592
0,BNC18,3,Automobile shop,33.6638267,17.2543867,16.40944,86.63729778,5.279722999,1.022091147,33,2.707415555
1,BNC18,3,Police station ,69.3662465,2.3254295,67.040817,522.3795555,7.79196285,0.57326366,120,3.97009767
2,BNC18,3,Fire Station,14.9092616,5.4095946,9.499667,148.6811887,15.65120006,0.669899821,20,5.062217561
3,BNC18,3,Bank,40.6449283,7.2778343,33.367094,272.1112042,8.155076502,0.601715512,66,2.971734605
4,BNC18,3,Pawn Shop,17.9439321,6.1317071,11.812225,98.88646131,8.371535533,0.80565929,22,2.677421178
5,BNC18,3,Pizzeria,21.0970159,5.1736009,15.923415,136.4096181,8.566605726,0.561864357,29,3.454908215
6,BNC18,3,Quattroki Restaurant,12.2283794,5.3259104,6.902469,191.8057754,27.78799519,0.5330364,22,5.672643035
7,BNC18,3,High School,16.0137696,7.0416866,8.972083,216.5328422,24.13406588,0.351758,26,4.989285175
