,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
2,BNC42,2,Fire Station,13.4651427,5.4647387,8.000404,139.5582576,17.44390128,0.564657714,15
3,BNC42,2,Bank,51.3532042,2.4099702,48.943234,371.4234127,7.588861265,0.782448806,63
4,BNC42,2,Pawn Shop,21.0062286,7.1456976,13.860531,126.7699263,9.146108928,1.190314271,18
5,BNC42,2,Pizzeria,47.3395438,3.7085858,43.630958,263.5746618,6.041001021,0.990730573,46
6,BNC42,2,Quattroki Restaurant,19.1731601,3.3614701,15.81169,193.3278547,12.22689382,0.867928338,22
7,BNC42,2,High School,16.041673,1.861352,14.180321,238.4885589,16.81827646,0.482069897,30
0,BNC42,3,Automobile shop,5.4914477,1.6644057,3.827042,62.74049439,16.3939916,0.418465245,12
1,BNC42,3,Police station ,34.5062427,1.8264617,32.679781,314.9614686,9.637808422,0.609694849,54
2,BNC42,3,Fire Station,8.7706204,3.2985944,5.472026,140.1160266,25.60587735,0.357887733,16
3,BNC42,3,Bank,13.6457219,4.0275249,9.618197,152.6515956,15.87112383,0.594211313,17
4,BNC42,3,Pawn Shop,10.2287709,2.0417409,8.18703,123.7640757,15.11709078,0.609680593,16
5,BNC42,3,Pizzeria,97.2826702,7.8748012,89.407869,536.4106563,5.999591113,1.094854866,89
6,BNC42,3,Quattroki Restaurant,9.0899178,3.0415648,6.048353,190.3197946,31.46638343,0.442201095,20
7,BNC42,3,High School,11.5901848,1.8065608,9.783624,237.7565599,24.30148174,0.400670208,25
0,BNC43,1,Automobile shop,67.3350667,8.7592457,58.575821,129.0606098,2.203308594,3.448878932,20
1,BNC43,1,Police station ,191.3717225,8.1735885,183.198134,552.5255914,3.016000105,2.338270344,78
2,BNC43,1,Fire Station,43.3532661,20.9858361,22.36743,140.9942585,6.303552019,2.992082579,15
3,BNC43,1,Bank,127.466835,27.746555,99.72028,403.2870837,4.044183226,2.127979746,60
